0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
0.711,0.184,0.708,0.449,0.417,0.536,0.681,0.291,0.259
0.769,0.717,0.577,0.363,0.372,0.274,0.267,0.346,0.275
1.0,0.424,0.212,0.444,0.434,0.481,0.35,0.359,0.259
0.727,0.911,0.417,0.338,0.386,0.356,0.608,0.331,0.275
1.0,0.563,0.943,0.383,0.434,0.313,0.52,0.253,0.331
1.0,0.535,0.827,0.631,0.336,0.368,0.301,0.296,0.275
0.409,1.0,0.84,0.459,0.406,0.301,0.253,0.295,0.275
1.0,1.0,0.421,0.302,0.28,0.486,0.329,0.365,0.308
1.0,0.576,0.947,0.564,0.353,0.37,0.346,0.324,0.253
1.0,0.484,0.438,0.5,0.244,0.423,0.339,0.288,0.331
