0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
0.301,0.84,0.713,0.789,0.825,0.768,0.841,0.764,0.866
0.439,0.516,0.777,0.727,0.787,0.786,0.914,0.861,0.882
0.039,0.796,0.843,0.724,0.852,0.845,0.868,0.873,0.866
0.671,0.423,0.713,0.834,0.729,0.809,0.834,0.875,0.882
0.3,0.81,0.718,0.831,0.843,0.866,0.825,0.884,0.875
0.289,0.729,0.702,0.777,0.823,0.832,0.85,0.864,0.882
0.405,0.67,0.709,0.848,0.736,0.827,0.884,0.864,0.882
0.409,0.689,0.841,0.766,0.729,0.823,0.87,0.836,0.857
0.289,0.825,0.727,0.816,0.759,0.72,0.861,0.861,0.884
0.3,0.464,0.793,0.814,0.795,0.868,0.854,0.868,0.875
