0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
0.66,1.0,0.575,0.573,0.303,0.356,0.303,0.411,0.536
0.669,0.873,0.709,0.273,0.524,0.411,0.235,0.334,0.425
1.0,1.0,0.365,0.349,0.28,0.337,0.358,0.29,0.536
1.0,0.855,0.675,0.651,0.331,0.651,0.496,0.334,0.425
0.966,0.98,0.353,0.521,0.494,0.405,0.421,0.425,0.524
0.643,1.0,0.674,0.331,0.368,0.347,0.324,0.538,0.411
1.0,0.649,0.416,0.541,0.303,0.641,0.421,0.279,0.393
1.0,1.0,0.635,0.317,0.318,0.536,0.393,0.425,0.536
0.517,0.376,0.512,0.294,0.244,0.3,0.303,0.425,0.536
0.66,0.816,0.637,0.285,0.541,0.352,0.538,0.538,0.425
