ClusterNumber,Precision,Fitness,NoiseThreshold
4,0.188,1.0,0.0
4,0.463,0.918,0.1
4,0.463,0.918,0.2
4,0.463,0.918,0.3
4,0.463,0.895,0.4
4,0.192,0.846,0.5
4,0.192,0.846,0.6
4,0.192,0.846,0.7
4,0.305,0.746,0.8
4,0.464,0.48,0.99
4,0.5,0.473,0.9
5,0.106,1.0,0.0
5,0.283,0.882,0.1
5,0.275,0.882,0.2
5,0.288,0.859,0.3
5,0.411,0.774,0.4
5,0.411,0.79,0.5
5,0.436,0.767,0.6
5,0.51,0.733,0.7
5,0.51,0.742,0.8
5,0.531,0.512,0.99
5,0.531,0.733,0.9
6,0.071,1.0,0.0
6,0.16,0.899,0.1
6,0.274,0.883,0.2
6,0.227,0.878,0.3
6,0.139,0.926,0.4
6,0.139,0.926,0.5
6,0.139,0.926,0.6
6,0.282,0.721,0.7
6,0.319,0.672,0.8
6,0.857,0.64,0.99
6,0.396,0.658,0.9
