0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
0.716,0.689,0.77,0.783,0.859,0.862,0.859,0.864,0.859
0.727,0.703,0.672,0.866,0.828,0.864,0.845,0.864,0.861
0.389,0.676,0.866,0.915,0.898,0.842,0.898,0.925,0.859
0.404,0.738,0.771,0.823,0.865,0.831,0.862,0.864,0.861
0.489,0.759,0.911,0.765,0.83,0.825,0.797,0.861,0.851
0.785,0.689,0.714,0.808,0.847,0.906,0.851,0.858,0.864
0.689,0.825,0.751,0.785,0.845,0.786,0.797,0.938,0.868
0.316,0.689,0.777,0.759,0.778,0.8,0.868,0.861,0.859
0.367,0.8,0.784,0.823,0.932,0.778,0.859,0.861,0.859
0.716,0.742,0.74,0.877,0.785,0.84,0.798,0.798,0.861
